48 hosts, 0 routers, 0 mobiles, 0 accesspoints
Simulation time                     : 58591566
Events raised                       : 524068
Messages generated                  : 8883
Messages delivered                  : 7433
Message bandwidth                   : 10404
Average delivery time               : 3931834
Frames transmitted                  : 187524
Frames received                     : 187483
Efficiency (bytes AL) / (bytes PL)  : 10.59
Transmission cost                   : 351626
EV_REBOOT                           : 48
EV_PHYSICALREADY                    : 187483
EV_APPLICATIONREADY                 : 8883
EV_TIMER1                           : 327654

END-TO-END PERFORMANCE
To node SB
- from SAB :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from PRL :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from PRT :        1 msgs,    56195 ms latency,      0.1 kB/s throughput
- from WDN :        1 msgs,    41630 ms latency,      0.1 kB/s throughput
- from NNW :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from NUN :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from NOH :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from FRS :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from GRH :        1 msgs,    19154 ms latency,      0.1 kB/s throughput
To node SLS
- from SB  :        1 msgs,     5309 ms latency,      0.1 kB/s throughput
- from HOM :        1 msgs,    47967 ms latency,      0.2 kB/s throughput
- from IGB :        1 msgs,     5750 ms latency,      0.2 kB/s throughput
- from VK  :        1 msgs,    34457 ms latency,      0.1 kB/s throughput
- from SUL :        1 msgs,    33589 ms latency,      0.0 kB/s throughput
- from FOR :        1 msgs,    10693 ms latency,      0.0 kB/s throughput
- from SGM :        1 msgs,    29379 ms latency,      0.0 kB/s throughput
- from NK  :        1 msgs,    50606 ms latency,      0.1 kB/s throughput
- from BLK :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from ZWB :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from WLM :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from WND :        1 msgs,    34634 ms latency,      0.2 kB/s throughput
- from SPE :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from MRP :        1 msgs,    33893 ms latency,      0.2 kB/s throughput
- from OTW :        1 msgs,    53701 ms latency,      0.2 kB/s throughput
- from NMB :        1 msgs,    53527 ms latency,      0.1 kB/s throughput
- from DIL :        6 msgs,     7219 ms latency,      0.8 kB/s throughput
- from SWB :        2 msgs,    20992 ms latency,      0.1 kB/s throughput
- from WLF :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from MZG :        1 msgs,    18827 ms latency,      0.1 kB/s throughput
- from NLB :        3 msgs,     7963 ms latency,      0.2 kB/s throughput
- from BEK :        1 msgs,    53000 ms latency,      0.0 kB/s throughput
- from MTL :        1 msgs,    54278 ms latency,      0.0 kB/s throughput
- from LSH :        1 msgs,    50364 ms latency,      0.1 kB/s throughput
- from PTL :        1 msgs,      230 ms latency,      0.2 kB/s throughput
- from WDG :        1 msgs,    51395 ms latency,      0.0 kB/s throughput
- from UBH :        1 msgs,    33214 ms latency,      0.1 kB/s throughput
- from HEW :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from LEB :        2 msgs,    17912 ms latency,      0.2 kB/s throughput
- from EPB :        1 msgs,    14381 ms latency,      0.1 kB/s throughput
- from SCH :        1 msgs,    21550 ms latency,      0.1 kB/s throughput
- from LED :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from SSB :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from IHN :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from RLG :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from THY :        1 msgs,    39977 ms latency,      0.1 kB/s throughput
- from ORZ :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from BRG :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from SAB :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from PRL :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from PRT :        1 msgs,    48252 ms latency,      0.2 kB/s throughput
- from WDN :        1 msgs,    50255 ms latency,      0.1 kB/s throughput
- from NNW :        1 msgs,    36559 ms latency,      0.0 kB/s throughput
- from NUN :        1 msgs,    30178 ms latency,      0.0 kB/s throughput
- from NOH :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from FRS :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from GRH :        0 msgs,        0 ms latency,      0.0 kB/s throughput
To node IGB
- from SB  :        1 msgs,     7867 ms latency,      0.1 kB/s throughput
